CHEMBL231209,RIUZPIBUSOHUKF-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,21336281.0,pKI,6.600326278518962,NM,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
CHEMBL231209,RIUZPIBUSOHUKF-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,6.599997654072044,NM,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12
CHEMBL1976220,RWEHAHIEUDLKGT-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,7.599980364934842,NM,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12
CHEMBL394790,UWDBNTXEKYRMSG-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,21336281.0,pKI,7.4089353929735005,NM,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
CHEMBL394790,UWDBNTXEKYRMSG-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,7.400007822415902,NM,Nc1nccc2scc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
CHEMBL1964692,XCHWBXBDZRJVDP-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,8.600326278518962,NM,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
CHEMBL1242373,XLFYOIVELARSKP-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,7.700057099977233,NM,Cc1cccc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1
CHEMBL1968406,XYXLUJQBBIBJFV-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,8.300162274132754,NM,CCc1cccc(NC(=O)Nc2ccc3c(CCc4sc5ncnc(N)c5c34)c2)c1
CHEMBL2004365,ZQVQTUFEKLITNT-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,6.0,NM,CCOC(=O)C1=C(N)N2C(=O)C(=Cc3cccs3)SC2=C(C1c4cccs4)C(=O)N
CHEMBL213505,ZXLFIHLBHMLHFJ-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,21336281.0,pKI,7.721246399047171,NM,Nc1ncnc2onc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12
CHEMBL213505,ZXLFIHLBHMLHFJ-UHFFFAOYSA-N,,,Q9UBE8,SERINE/THREONINE PROTEIN KINASE NLK,NLK,,pKI,7.700057099977233,NM,Nc1ncnc2onc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12
