Exp,Pred
5.5999994,5.6344101087443486
5.800245,5.78604859646697
6.099999,6.08567596048632
5.4,5.494590277480522
5.1000156,5.225856753570963
5.4999995,5.70147268444659
8.045757,7.82820311928489
5.8000007,5.826852042111967
7.0,6.334164021677189
5.7000003,5.453945219585994
5.0,5.145579885994522
5.0,5.031389402092449
8.30103,8.658744910288387
5.2000003,5.784549141615318
5.3,5.448648466656654
5.4999995,6.045738919839076
5.899998,5.826758706153327
7.700057,6.012662693015254
5.3,5.360312009861911
6.2006593,5.992076963911488
9.522879,9.230952293488716
5.1,5.137002764997055
5.0,5.269507123247169
5.1,5.413358498443029
5.0,5.097375412177502
5.950782,5.480229293769021
5.8000007,5.774617937322204
5.7000003,5.826542667311853
5.8000007,5.891355733360443
5.8000007,5.818486603216728
5.2000394,5.2375127119267635
5.4,5.389125114268853
6.0604806,6.106598670804045
7.2999887,7.2260367802541134
5.3,5.350321560911964
5.8000007,5.892977969678637
5.39794,5.219482523501344
5.1,5.139642175060737
5.7000003,5.957139145103594
4.0,4.9613566593732825
7.1999707,6.6843997354915405
6.0,5.805367515160204
5.0,5.259681338093876
5.7000003,5.716130989960638
5.8000007,6.008218355697455
5.0,5.181927810966023
7.1000156,6.310233708605223
5.6369524,5.497576428340827
5.8000007,5.891133293683231
5.39794,5.574755334022814
6.1001797,5.6059627552157245
5.6478176,5.790361405055689
5.4000077,5.409267892025505
5.899998,6.288985921493936
5.899998,5.556663623365392
6.6777806,6.981324360794489
6.2660007,6.501890944245001
7.7999706,8.27483100336128
5.5999994,5.519952215322058
5.7929044,6.004044652577682
4.4,4.804144886387679
5.2000003,5.284902606120374
7.21467,7.045318846515247
5.4,5.7000958581528005
5.0,5.042368920981303
5.3,5.888082129539162
7.0,6.452201143612937
5.5999994,6.345902633947355
5.7000003,5.790717300116922
5.2000394,5.202668443766488
5.899998,5.918416548933802
5.7000003,5.7081106094473615
6.099999,6.2560878258459764
5.3,5.566585248536964
8.522879,7.9298790337642036
5.4,5.42254424080116
5.7000003,5.895674024064577
5.700057,5.722413047408279
5.1,5.665205988841987
5.2000003,5.35657476247401
6.3999968,5.467098508760151
5.0655017,5.111316058122044
8.2218485,8.304327551788754
5.1,5.10716806241788
8.801343,6.043515353983384
6.499997,5.8055205336619595
5.6001534,5.621234396452152
7.4000077,7.37461689705319
6.499997,5.742075384134882
6.7999983,5.75262064397447
5.1,5.108834013102629
8.69897,9.545094109840436
5.899998,5.900484891960166
7.0,6.364367284194272
5.800245,5.858461688753408
5.0,5.022339793371432
5.2000003,5.224339465037971
4.2,4.805859931589311
5.8000007,5.8645511207545145
5.1,5.11433525580166
5.8000007,6.529670032881835
6.099999,5.879309360648
5.8000007,5.821378734140265
5.8000007,5.530556695694561
6.3999968,6.45356656498355
3.79588,3.8184890615508174
5.2000003,5.268908952606905
5.899998,5.945222423387337
8.337242,7.786124429664914
6.1999984,5.89669881807378
5.1,5.108431910921126
6.5999975,6.02122673403206
5.4999995,5.867995870827085
5.8000007,5.7332922744500605
5.1,5.187369493711241
5.0,5.284001263652198
5.700057,5.793185674483993
5.2000003,5.275490178797387
5.0,5.027334038100978
5.4,5.463293327935041
5.4000077,5.4133406873699785
5.7000003,6.070372027248908
5.5999994,5.65420880988673
5.4999995,5.552233391148772
4.0,5.739254011283677
5.500038,5.4956896607207595
5.4999995,5.663833815710431
2.552842,4.047700926586435
6.099999,5.878551503855729
6.2006593,6.066880156761378
6.499997,5.92163414576916
5.5999994,5.997813773189509
5.700057,5.756888436764004
5.8000007,5.954728270586285
4.7000003,5.424225709396678
5.6001534,5.709290199872139
5.0,5.405678347101288
5.2000003,5.4140788224040985
5.8000007,5.450363738919147
8.39794,8.974973703626603
5.3,5.570291712646947
5.2000003,5.383670654088452
5.4,5.844290535682332
6.0,5.790220244437056
5.4999995,5.459335810902223
5.0,5.251472708593413
9.30103,8.0384972031135
5.0,5.097747036139106
5.8000007,5.676262830309086
6.099999,6.062595467809607
7.8860564,8.394886712923366
5.8000007,5.801252757012846
5.4000077,5.386284327971082
8.300162,6.502509566928127
5.1,5.229323450529113
5.4,5.448198279666136
5.1000156,5.184177969318517
5.4,6.053932798400986
5.0,5.055866133775029
5.0,5.801877156908986
6.0,5.749629058374506
8.886057,8.82248467906316
5.899998,5.895547273993327
5.4999995,5.745700209672804
5.0,5.189861269242549
5.8000007,5.884861567676319
5.500038,5.446706618099821
5.5999994,5.672182240810372
4.5,4.962262087084278
5.4999995,5.215466959873836
5.1,5.68904680023142
5.3,5.272035017241229
5.4999995,5.603382230737154
5.0,5.516773066299453
5.2000003,5.6100380881204925
5.899998,5.92240287285973
6.3999968,6.372713581732341
5.1,5.201163405961048
5.8000007,6.060919671250776
5.4,5.89042636630808
6.099999,6.412252589869313
5.7000003,5.959517888779551
7.2999887,6.050609379161126
4.7000003,4.950907718304948
7.500038,6.440774034871108
8.431798,8.589212853996841
5.2000003,5.649569603424884
7.5686364,6.763810862955947
8.69897,8.824099271043606
